,in domain,ood,total count,common count,msp only count,pps only count,common ratio,msp only ratio,pps only ratio
0,imdb,sst2,67,3,32,32,0.04477611940298507,0.47761194029850745,0.47761194029850745
1,imdb,snli,987,11,487,489,0.011144883485309016,0.49341438703140833,0.49544072948328266
2,imdb,counterfactual-imdb,232,12,110,110,0.05172413793103448,0.47413793103448276,0.47413793103448276
3,imdb,rte,28,0,14,14,0.0,0.5,0.5
4,sst2,imdb,1880,119,880,881,0.06329787234042553,0.46808510638297873,0.46861702127659577
5,sst2,snli,968,32,468,468,0.03305785123966942,0.4834710743801653,0.4834710743801653
6,sst2,counterfactual-imdb,233,11,111,111,0.04721030042918455,0.47639484978540775,0.47639484978540775
7,sst2,rte,27,1,13,13,0.037037037037037035,0.48148148148148145,0.48148148148148145
