,in domain,ood,total count,common count,msp only count,pps only count,common ratio,msp only ratio,pps only ratio
0,imdb,sst2,18063,6200,10932,931,0.3432430936167857,0.6052150805514034,0.051541825831810884
1,imdb,snli,19371,2874,637,15860,0.14836611429456403,0.032884208352692165,0.8187496773527438
2,imdb,counterfactual-imdb,19920,16083,1408,2429,0.8073795180722891,0.07068273092369477,0.12193775100401606
3,imdb,rte,19770,4077,48,15645,0.2062215477996965,0.0024279210925644916,0.791350531107739
4,sst2,imdb,2429,177,1362,890,0.07286949361877315,0.5607245780156443,0.36640592836558256
5,sst2,snli,1261,97,600,564,0.07692307692307693,0.47581284694686754,0.44726407613005553
6,sst2,counterfactual-imdb,723,50,551,122,0.06915629322268327,0.7621023513139695,0.16874135546334718
7,sst2,rte,363,85,173,105,0.23415977961432508,0.4765840220385675,0.2892561983471074
